title,author,isbn,isAvailable,publicationYear,genre,timesCheckedOut
To Kill a Mockingbird,Harper Lee,978-3-1000000000,True,1920,Fiction,0
1984,George Orwell,978-3-1000000001,True,1921,Dystopian,0
The Great Gatsby,F. Scott Fitzgerald,978-3-1000000002,True,1922,Fiction,0
The Catcher in the Rye,J.D. Salinger,978-3-1000000003,True,1923,Fiction,0
Pride and Prejudice,Jane Austen,978-3-1000000004,True,1924,Romance,0
The Lord of the Rings,J.R.R. Tolkien,978-3-1000000005,True,1925,Fantasy,0
Animal Farm,George Orwell,978-3-1000000006,True,1926,Satire,0
Moby Dick,Herman Melville,978-3-1000000007,True,1927,Adventure,0
War and Peace,Leo Tolstoy,978-3-1000000008,True,1928,Historical,0
Ulysses,James Joyce,978-3-1000000009,True,1929,Modernist,0
The Odyssey,Homer,978-3-1000000010,True,1930,Epic,0
Crime and Punishment,Fyodor Dostoevsky,978-3-1000000011,True,1931,Philosophical,0
The Brothers Karamazov,Fyodor Dostoevsky,978-3-1000000012,True,1932,Philosophical,0
Jane Eyre,Charlotte Bronte,978-3-1000000013,True,1933,Gothic,0
Wuthering Heights,Emily Bronte,978-3-1000000014,True,1934,Gothic,0
Brave New World,Aldous Huxley,978-3-1000000015,True,1935,Dystopian,0
Fahrenheit 451,Ray Bradbury,978-3-1000000016,True,1936,Dystopian,0
The Grapes of Wrath,John Steinbeck,978-3-1000000017,True,1937,Historical,0
Slaughterhouse-Five,Kurt Vonnegut,978-3-1000000018,True,1938,Satire,0
Catch-22,Joseph Heller,978-3-1000000019,True,1939,War,0
The Hobbit,J.R.R. Tolkien,978-3-1000000020,True,1940,Fantasy,0
Alice's Adventures in Wonderland,Lewis Carroll,978-3-1000000021,True,1941,Fantasy,0
Little Women,Louisa May Alcott,978-3-1000000022,True,1942,Classic,0
Sense and Sensibility,Jane Austen,978-3-1000000023,True,1943,Romance,0
Great Expectations,Charles Dickens,978-3-1000000024,True,1944,Classic,0
One Hundred Years of Solitude,Gabriel Garcia Marquez,978-3-1000000025,True,1945,Magical Realism,0
Beloved,Toni Morrison,978-3-1000000026,True,1946,Historical,0
Frankenstein,Mary Shelley,978-3-1000000027,True,1947,Horror,0
The Adventures of Huckleberry Finn,Mark Twain,978-3-1000000028,True,1948,Adventure,0
The Iliad,Homer,978-3-1000000029,True,1949,Epic,0
Don Quixote,Miguel de Cervantes,978-3-1000000030,True,1950,Adventure,0
